OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,ObservationDate_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,NOTES_baseline,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials_2023,EditDate,Editor,SHADE,ORNAMENTAL,EVERGREEN,LONGITUDE,LATITUDE,POINT_X,POINT_Y,Scientific.Name
597,3368,American Arborvitae,PERSHING ST,9,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,0,1,176435.8419,896613.1281,-71.78586203,42.31964996,Thuja occidentalis
598,3369,American Arborvitae,PERSHING ST,9,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,0,1,176436.2174,896616.3023,-71.78585761,42.31967854,Thuja occidentalis
599,3370,American Arborvitae,PERSHING ST,9,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,0,0,0,0,0,0,Alive,0,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,0,1,176436.2174,896616.3023,-71.78585761,42.31967854,Thuja occidentalis
600,3410,Japanese Tree Lilac,POCASSET AVE,87,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,4.5,54,0,0,17.9,11,Alive,0,1,Good,,AR NG,6/14/2023,ARichmondCrosset_clarku,0,1,0,176889.7831,894964.3477,-71.78028948,42.30481984,Syringa reticulata
601,3411,Japanese Tree Lilac,POCASSET AVE,87,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,3.8,54,0,0,14.1,10,Alive,0,1,Good,,AR NG,6/14/2023,ARichmondCrosset_clarku,0,1,0,176883.7517,894974.4643,-71.78036304,42.30491074,Syringa reticulata
602,3412,Cherry,POCASSET AVE,87,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,6.1,42,0,0,13.8,9.5,Alive,0,1,Fair,,AR NG,6/14/2023,ARichmondCrosset_clarku,0,1,0,176885.7502,894968.4015,-71.78033856,42.30485621,Prunus
603,3450,Littleleaf Linden,PURCHASE ST,31,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,CB RC CK,6/15/2023,CBate_clarku,1,0,0,176418.6454,895501.3003,-71.78602542,42.30963985,Tilia cordata
604,3452,Blackgum,QUINAPOXET LN,57,Worcester,Fall 2010,,Back Yard,Single-Family,1.4,,NA,,11,8.291666667,Alive,N,1-25 %,Good,  ,,BY,SFR-D,5.1,54,0,0,16.7,18.75,Alive,0,1,Good,,AR AN,6/15/2023,ARichmondCrosset_clarku,1,0,0,176333.0498,895981.054,-71.78708321,42.3139564,Nyssa sylvatica
605,3453,Ginkgo,QUINAPOXET LN,57,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,1.1,33,0,0,6,4.5,Alive,0,1,Good,,AR AN,6/15/2023,ARichmondCrosset_clarku,1,0,0,176353.4657,895978.2449,-71.78683545,42.31393173,Ginkgo biloba
606,3454,Honeylocust,QUINAPOXET LN,57,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,10.6,54,0,0,35,34.5,Alive,0,1,Good,,AR AN,6/15/2023,ARichmondCrosset_clarku,1,0,0,176343.5792,895987.8063,-71.78695576,42.31401751,Gleditsia
607,3455,Kousa Dogwood,QUINAPOXET LN,57,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,SY,SFR-D,1,18,0,0,15.4,17,Alive,0,1,Good,,AR AN,6/15/2023,ARichmondCrosset_clarku,0,1,0,176342.4552,895959.0022,-71.78696822,42.31375816,Cornus kousa
608,3456,Kousa Dogwood,QUINAPOXET LN,57,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,SY,SFR-D,6.8,27,0,0,17.3,16.75,Alive,0,1,Good,,AR AN,6/15/2023,ARichmondCrosset_clarku,0,1,0,176334.4497,895964.4452,-71.78706555,42.31380692,Cornus kousa
609,3457,White Fir,QUINAPOXET LN,57,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,12.5,54,0,0,27.6,21.25,Alive,0,1,Good,,AR AN,6/15/2023,ARichmondCrosset_clarku,0,0,1,176326.6508,895972.7543,-71.78716049,42.31388149,Abies concolor
610,3462,Crabapple,QUINAPOXET LN,141,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,3.8,38,0,0,14.5,14.5,Alive,0,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,1,0,176579.867,896358.1292,-71.78410454,42.31735858,Malus sylvestris 
611,3463,Crabapple,QUINAPOXET LN,141,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,SY,SFR-D,3.9,54,0,0,19.5,17,Alive,1,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,1,0,176575.5727,896333.8675,-71.78415565,42.31714003,Malus sylvestris 
612,3464,Crabapple,QUINAPOXET LN,141,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,7.5,39,0,0,20.5,20,Alive,0,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,1,0,176575.0583,896360.7857,-71.78416298,42.31738235,Malus sylvestris 
613,3465,Kousa Dogwood,QUINAPOXET LN,141,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,3.9,33,0,0,16.3,17.5,Alive,0,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,1,0,176584.5042,896346.1748,-71.78404781,42.3172511,Cornus kousa
614,3466,Sargent Cherry,QUINAPOXET LN,141,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,7.6,37,0,0,17.3,19,Alive,0,2,Fair,,CK JA TH,6/26/2023,THonnef_clarku,0,1,0,176581.3927,896354.53,-71.78408589,42.31732622,Prunus sargentii
615,3467,Sargent Cherry,QUINAPOXET LN,158,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,3.6,44,0,0,15.6,14,Alive,0,2,Fair,Vine growth at base,CK JA TH,6/26/2023,THonnef_clarku,0,1,0,176605.9669,896428.1752,-71.78379076,42.31798997,Prunus sargentii
616,3468,Sargent Cherry,QUINAPOXET LN,158,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,7.1,54,8.5,54,25.2,30.5,Alive,0,1,Good,,CK JA TH,6/26/2023,THonnef_clarku,0,1,0,176563.3049,896421.1014,-71.784308,42.31792501,Prunus sargentii
617,3469,White Fir,QUINAPOXET LN,158,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,CK JA TH,6/26/2023,THonnef_clarku,0,0,1,176608.0717,896437.8584,-71.78376561,42.31807721,Abies concolor
618,3470,White Fir,QUINAPOXET LN,158,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,CK JA TH,6/26/2023,THonnef_clarku,0,0,1,176615.7504,896425.4232,-71.78367196,42.31796549,Abies concolor
619,3500,Bald Cypress,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,No sign of 3500 or 3501 in sight,AP CK CB,6/14/2023,apai_clarku,0,0,1,175388.7208,894286.6933,-71.79846603,42.29867317,Taxodium distichum
620,3501,Bald Cypress,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,No sign of 3500 or 3501 in sight,AP CK CB,6/14/2023,apai_clarku,0,0,1,175404.5382,894287.0831,-71.79827423,42.29867718,Taxodium distichum
621,3502,Bald Cypress,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,7.1,54,0,0,23.4,12.45,Alive,0,1,Good,Good,AP CK CB,6/14/2023,apai_clarku,0,0,1,175383.8801,894296.2065,-71.79852514,42.29875867,Taxodium distichum
622,3503,Bald Cypress,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,8.1,54,0,0,27.5,13.5,Alive,0,1,Good,b'4261726b206973207065656c65642c206e6f742073757265206966207468617489dbaa7320686f7720697489dbaa7320737570706f73656420746f206c6f6f6b2e20506f736974696f6e20616c736f207365656d732077726f6e6720626563617573652074686973207472656520697320696e2074686520706c616365206f6620333530392062757420697320612062616c6420637970726573732c207365656d73206c696b652074686520726564776f6f6420616e64206379707265737320776572652073776974636865642e20576589dbaa7665206b6570742074686520706f736974696f6e732077726f6e67206275742073706563696573207269',CK AP CB,6/14/2023,apai_clarku,0,0,1,175406.3321,894296.6416,-71.79825288,42.29876329,Taxodium distichum
623,3504,Blackgum,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,5.1,54,0,0,17.8,15,Alive,0,1,Good,,CK AP CB,6/14/2023,apai_clarku,1,0,0,175365.0629,894332.7891,-71.79875489,42.29908742,Nyssa sylvatica
624,3505,Blackgum,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,4,54,0,0,14.6,12.25,Alive,0,1,Good,Leaning,CK AP CB,6/14/2023,apai_clarku,1,0,0,175370.9177,894316.0418,-71.79868318,42.29893683,Nyssa sylvatica
625,3506,Blackgum,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,6.1,0,0,0,19.6,22,Alive,1,1,Good,Leaning,CK AP CB,6/14/2023,apai_clarku,1,0,0,175367.4139,894323.1836,-71.79872597,42.29900102,Nyssa sylvatica
626,3507,Crabapple,RANDOLPH RD,104,Worcester,Fall 2010,,front yard,commercial,1.25,2.916666667,NA,,12,12.5,Alive,N,1,Fair,  Slight leaf discoloration; wilting branches,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,AP CK CB,6/14/2023,apai_clarku,0,1,0,175422.884,894373.5604,-71.79805541,42.2994563,Malus sylvestris 
627,3508,Crabapple,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,3.3,21,0,0,5.8,10.9,Alive,1,1,Fair,b'4c6f6f6b732061206c6974746c652073686f72742c206f72616e67652073706f7473206f6e206c656176657320616e6420626572726965732c206e6f74207375726520696620697489dbaa7320646f696e6720746f6f2077656c6c',AP CK CB,6/14/2023,apai_clarku,0,1,0,175425.7921,894362.7511,-71.79801969,42.29935907,Malus sylvestris 
628,3509,Dawn Redwood,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,6.1,54,0,0,22.3,17.3,Alive,0,1,Fair,b'5669676f7220676f6f6420627574206c6f6f6b73207370617273652c20616c736f2074686973206973207377697463686564207769746820333530392c206974206973206120726564776f6f642062757420697489dbaa7320696e207468652077726f6e6720706c6163652e',CK AP CB,6/14/2023,apai_clarku,0,0,1,175396.3439,894295.676,-71.79837397,42.29875428,Metasequoia glyptostroboides
629,3510,Ginkgo,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CB RC AR,7/6/2023,CBate_clarku,1,0,0,175421.6736,894300.8493,-71.79806701,42.29880165,Ginkgo biloba
630,3511,Ginkgo,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,1.1,50,0,0,9.2,5.5,Alive,0,3,Poor,b'57686f6c652074726565206973206c65616e6564206f7665722c20626164207669676f722c206261726b20697320636869707065642c206c6f6f6b73206c696b6520697489dbaa7320676f6e6e612066616c6c20616e792074696d6520736f6f6e',CK AP CB,6/14/2023,apai_clarku,1,0,0,175404.1826,894271.8462,-71.7982779,42.29853999,Ginkgo biloba
631,3512,Ginkgo,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Stump,0,0,,,CK AP CB,6/14/2023,apai_clarku,1,0,0,175386.961,894270.1154,-71.79848667,42.29852387,Ginkgo biloba
632,3513,Honeylocust,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,7,54,0,0,22.9,26.9,Alive,0,1,Good,,CK AP CB,6/14/2023,apai_clarku,1,0,0,175340.6669,894408.0301,-71.79905395,42.29976403,Gleditsia
633,3514,Honeylocust,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,6.7,54,0,0,22.2,22.5,Alive,1,1,Good,,AP CK CB,6/14/2023,apai_clarku,1,0,0,175344.1163,894421.5441,-71.79901269,42.29988581,Gleditsia
634,3515,Japanese Tree Lilac,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,3.5,49,0,0,13.5,8.6,Alive,0,1,Good,Looking good,AP CK CB,6/14/2023,apai_clarku,0,1,0,175424.1874,894367.6278,-71.79803936,42.29940293,Syringa reticulata
635,3516,Red Oak,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,9.4,41,0,0,29,27.25,Alive,0,1,Good,,CK AP CB,6/14/2023,apai_clarku,1,0,0,175345.5207,894387.9734,-71.79899423,42.29958362,Quercus rubra
636,3517,Snow Goose Cherry,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,4.5,54,0,0,15,7,Alive,0,1,Good,Not sure if INST or SFR,AP CK CB,6/14/2023,apai_clarku,0,1,0,175362.117,894426.722,-71.79879461,42.29993299,prunus serrulata
637,3518,Snow Goose Cherry,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,9.2,34,0,0,19,18,Alive,0,1,Good,Not sure if INST OR SFR,AP CK CB,6/14/2023,apai_clarku,0,1,0,175358.423,894420.7386,-71.79883915,42.29987901,prunus serrulata
638,3519,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,5.5,54,0,0,11.6,8.5,Alive,0,1,Good,,AP CK CB,6/14/2023,apai_clarku,0,0,1,175340.7549,894430.1091,-71.79905382,42.29996281,Abies concolor
639,3520,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Stump,0,0,,Not sure abt numbers,AP CK CB,6/14/2023,apai_clarku,0,0,1,175445.1129,894382.506,-71.79778622,42.29953753,Abies concolor
640,3521,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,8.3,54,0,0,26,11,Alive,0,1,Good,Not on the oasis side of fence,AP CK CB,6/14/2023,apai_clarku,0,0,1,175448.7746,894376.9231,-71.79774157,42.29948739,Abies concolor
641,3522,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,5,54,0,0,9,9.6,Alive,0,1,Good,Short and round; not sure if on odd fellows property or private,AP CK CB,6/14/2023,apai_clarku,0,0,1,175352.327,894430.1082,-71.79891348,42.29996317,Abies concolor
642,3523,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,6.1,48,0,0,9.3,9.9,Alive,0,1,Good,Super short and round,AP CK CB,6/14/2023,apai_clarku,0,0,1,175331.9722,894430.0418,-71.79916033,42.29996193,Abies concolor
643,3524,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,3.8,54,0,0,12.4,10.2,Alive,0,1,Good,,AP CK CB,6/14/2023,apai_clarku,0,0,1,175452.3526,894382.5945,-71.79769842,42.29953856,Abies concolor
644,3525,White Oak,RANDOLPH RD,104,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,8.1,49,0,0,23.1,20.25,Alive,0,1,Good,Large chunks of bark chipped at the bottom,CK AP CB,6/14/2023,apai_clarku,1,0,0,175361.731,894347.5572,-71.79879593,42.29922027,Quercus alba
645,3654,Japanese Tree Lilac,ROLLINSON RD,19,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,4.2,54,0,0,14.5,10,Alive,0,1,Good,,AR AN,6/15/2023,ARichmondCrosset_clarku,0,1,0,176184.4872,896053.1925,-71.78888824,42.31460133,Syringa reticulata
646,3655,Littleleaf Linden,ROLLINSON RD,19,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,SFR-D,9.2,54,0,0,27.7,26.25,Alive,0,1,Good,"The small linden, close to the fence",AR AN,6/15/2023,ARichmondCrosset_clarku,1,0,0,176179.5876,896060.4295,-71.78894797,42.31466634,Tilia cordata
647,3721,Honeylocust,SAINT NICHOLAS AVE,5,Worcester,Fall 2010,6/19/2015,Front yard,Single-family,3.01,4.5,0,,21,15.54166667,Alive,N,1,Good,  ,,FY,SFR-D,8.3,54,0,0,36.7,26.75,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,1,0,0,176507.867,896150.6979,-71.78496954,42.31548895,Gleditsia
648,3722,Honeylocust,SAINT NICHOLAS AVE,5,Worcester,Fall 2010,6/19/2015,Front yard,Single-family,3.3,4.5,0,,21.33333333,14.45833333,Alive,N,1,Good,  ,,FY,SFR-D,9.8,54,0,0,35.8,26.75,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,1,0,0,176505.7638,896159.089,-71.7849954,42.31556443,Gleditsia
649,3723,Honeylocust,SAINT NICHOLAS AVE,5,Worcester,Fall 2010,6/19/2015,Front yard,Single-family,3.73,4.5,0,,22.83333333,15.54166667,Alive,N,1,Good,  ,,FY,SFR-D,9.3,54,0,0,35.8,33.5,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,1,0,0,176508.8951,896145.4405,-71.78495686,42.31544165,Gleditsia
650,3724,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.32,4.5,0,,9,4.5,Alive,N,1,Good,  ,,SY,SFR-D,4.8,44,0,0,17.5,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176538.6094,896128.4594,-71.78459573,42.31528967,Thuja occidentalis
651,3725,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.55,4.5,0,,10.41666667,4.333333333,Alive,N,1,Good,  ,,SY,SFR-D,2.75,54,3.7,54,20,4.1,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176542.1318,896130.4195,-71.78455308,42.31530742,Thuja occidentalis
652,3726,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.69,5.5,1.4,4.5,10.41666667,4.666666667,Alive,N,1,Good,  ,,SY,SFR-D,5.4,9,0,0,17.5,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176544.9468,896132.2405,-71.78451901,42.3153239,Thuja occidentalis
653,3727,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,2.2,4.5,0,,11.5,4.666666667,Alive,N,1,Good,  ,,SY,SFR-D,3.3,54,2.5,54,15,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176545.6925,896132.7364,-71.78450998,42.31532839,Thuja occidentalis
654,3728,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.46,4.5,1.16,4.5,9.5,4.208333333,Alive,N,1,Good,  ,,SY,SFR-D,6.3,17,0,0,20.5,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176550.297,896134.8323,-71.78445421,42.31534739,Thuja occidentalis
655,3729,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,0.91,4.5,0.9,4.5,9,4.625,Alive,N,1,Good,  ,,SY,SFR-D,5.3,54,2.8,54,22,4,Alive,0,1,Good,,JA AP CK,6/27/2023,apai_clarku,0,0,1,176549.0278,896133.8856,-71.78446957,42.31533883,Thuja occidentalis
656,3730,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.64,4.5,0.54,4.5,7,4.458333333,Alive,N,1,Good,  ,,SY,SFR-D,3.6,54,3.1,54,19.5,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176548.069,896133.6367,-71.78448119,42.31533656,Thuja occidentalis
657,3731,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.97,4.5,0.63,4.5,7,4,Alive,N,1,Good,  ,,SY,SFR-D,5,9,0,0,17,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176544.1061,896132.1328,-71.7845292,42.3153229,Thuja occidentalis
658,3732,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.56,4.5,0,,7,3.875,Alive,N,1,Good,  ,,SY,SFR-D,4.9,54,0,0,20.5,4.2,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176542.9021,896131.1546,-71.78454376,42.31531406,Thuja occidentalis
659,3733,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.84,4.5,0,,8,3.708333333,Alive,N,1,Good,  ,,SY,SFR-D,4.5,47,3,47,16,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176547.179,896133.1095,-71.78449196,42.31533179,Thuja occidentalis
660,3734,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1.02,4.5,0,,8,3.958333333,Alive,N,1,Good,  ,,SY,SFR-D,2.4,54,0,0,13,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176540.4969,896130.7595,-71.78457293,42.31531043,Thuja occidentalis
661,3735,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.96,4.5,0,,9,4.5,Alive,N,1,Good,  ,,SY,SFR-D,2.1,54,1.3,54,14,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176540.0281,896129.6665,-71.78457857,42.31530058,Thuja occidentalis
662,3736,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1.6,4.5,0,,10,4.333333333,Alive,N,1,Good,  ,,SY,SFR-D,5.3,10,0,0,18,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176543.8005,896131.0706,-71.78453286,42.31531333,Thuja occidentalis
663,3737,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1,4.5,0,,9,3.958333333,Alive,N,1,Good,  ,,SY,SFR-D,5.1,38,3.1,54,17,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176534.4863,896125.8847,-71.78464564,42.31526636,Thuja occidentalis
664,3738,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1.5,4.5,0,,11,4.666666667,Alive,N,1,Good,  ,,SY,SFR-D,3.4,54,2.8,54,18,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176550.9146,896134.3823,-71.7844467,42.31534336,Thuja occidentalis
665,3739,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.1,4.5,0,,10.25,4.291666667,Alive,N,1,Good,  ,,SY,SFR-D,4.8,54,0,0,20,4,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176536.3285,896126.8292,-71.78462333,42.31527492,Thuja occidentalis
666,3740,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.1,4.5,0.72,4.5,9.416666667,3.75,Alive,N,1,Good,  ,,SY,SFR-D,3.3,54,2.6,54,16.2,4.1,Alive,0,1,Good,,JA AP CK,6/27/2023,JaAndrews_clarku,0,0,1,176528.1304,896122.1576,-71.78472259,42.31523262,Thuja occidentalis
