OBJECTID,ID,OID_,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,Observation_Date_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_1,Comments_2,Comments_3,NOTES,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials,SHADE,ORNAMENTAL,EVERGREEN,EditDate,Editor,x,y,Scientific.Name
627,3508,6891,Crabapple,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,3.3,21,0,0,5.8,10.9,Alive,1,1,Fair,b'4c6f6f6b732061206c6974746c652073686f72742c206f72616e67652073706f7473206f6e206c656176657320616e6420626572726965732c206e6f74207375726520696620697489dbaa7320646f696e6720746f6f2077656c6c',AP CK CB,0,1,0,6/14/2023,apai_clarku,,,Malus sylvestris 
628,3509,6883,Dawn Redwood,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,6.1,54,0,0,22.3,17.3,Alive,0,1,Fair,b'5669676f7220676f6f6420627574206c6f6f6b73207370617273652c20616c736f2074686973206973207377697463686564207769746820333530392c206974206973206120726564776f6f642062757420697489dbaa7320696e207468652077726f6e6720706c6163652e',CK AP CB,0,0,1,6/14/2023,apai_clarku,,,Metasequoia glyptostroboides
629,3510,6886,Ginkgo,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,"cb, rc, ar",1,0,0,7/6/2023,CBate_clarku,,,Ginkgo biloba
630,3511,6880,Ginkgo,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,1.1,50,0,0,9.2,5.5,Alive,0,3,Poor,b'57686f6c652074726565206973206c65616e6564206f7665722c20626164207669676f722c206261726b20697320636869707065642c206c6f6f6b73206c696b6520697489dbaa7320676f6e6e612066616c6c20616e792074696d6520736f6f6e',CK AP CB,1,0,0,6/14/2023,apai_clarku,,,Ginkgo biloba
631,3512,6879,Ginkgo,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Stump,0,0,,,CK AP CB,1,0,0,6/14/2023,apai_clarku,,,Ginkgo biloba
632,3513,6898,Honeylocust,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,7,54,0,0,22.9,26.9,Alive,0,1,Good,,CK AP CB,1,0,0,6/14/2023,apai_clarku,,,Gleditsia
633,3514,6900,Honeylocust,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,6.7,54,0,0,22.2,22.5,Alive,1,1,Good,,AP CK CB,1,0,0,6/14/2023,apai_clarku,,,Gleditsia
634,3515,6892,Japanese Tree Lilac,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,3.5,49,0,0,13.5,8.6,Alive,0,1,Good,Looking good,AP CK CB,0,1,0,6/14/2023,apai_clarku,,,Syringa reticulata
635,3516,6897,Red Oak,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,9.4,41,0,0,29,27.25,Alive,0,1,Good,,CK AP CB,1,0,0,6/14/2023,apai_clarku,,,Quercus rubra
636,3517,6901,Snow Goose Cherry,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,4.5,54,0,0,15,7,Alive,0,1,Good,Not sure if INST or SFR,AP CK CB,0,1,0,6/14/2023,apai_clarku,,,prunus serrulata
637,3518,6899,Snow Goose Cherry,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,9.2,34,0,0,19,18,Alive,0,1,Good,Not sure if INST OR SFR,AP CK CB,0,1,0,6/14/2023,apai_clarku,,,prunus serrulata
638,3519,6904,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,5.5,54,0,0,11.6,8.5,Alive,0,1,Good,,AP CK CB,0,0,1,6/14/2023,apai_clarku,,,Abies concolor
639,3520,6895,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Stump,0,0,,Not sure abt numbers,AP CK CB,0,0,1,6/14/2023,apai_clarku,,,Abies concolor
640,3521,6894,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,8.3,54,0,0,26,11,Alive,0,1,Good,Not on the oasis side of fence,AP CK CB,0,0,1,6/14/2023,apai_clarku,,,Abies concolor
641,3522,6903,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,5,54,0,0,9,9.6,Alive,0,1,Good,Short and round; not sure if on odd fellows property or private,AP CK CB,0,0,1,6/14/2023,apai_clarku,,,Abies concolor
642,3523,6902,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,6.1,48,0,0,9.3,9.9,Alive,0,1,Good,Super short and round,AP CK CB,0,0,1,6/14/2023,apai_clarku,,,Abies concolor
643,3524,6896,White Fir,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,3.8,54,0,0,12.4,10.2,Alive,0,1,Good,,AP CK CB,0,0,1,6/14/2023,apai_clarku,,,Abies concolor
644,3525,6890,White Oak,RANDOLPH RD,104,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,8.1,49,0,0,23.1,20.25,Alive,0,1,Good,Large chunks of bark chipped at the bottom,CK AP CB,1,0,0,6/14/2023,apai_clarku,,,Quercus alba
645,3654,7213,Japanese Tree Lilac,ROLLINSON RD,19,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,4.2,54,0,0,14.5,10,Alive,0,1,Good,,"AR, AN",0,1,0,6/15/2023,ARichmondCrosset_clarku,,,Syringa reticulata
646,3655,7215,Littleleaf Linden,ROLLINSON RD,19,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,9.2,54,0,0,27.7,26.25,Alive,0,1,Good,"The small linden, close to the fence","AR, AN",1,0,0,6/15/2023,ARichmondCrosset_clarku,,,Tilia cordata
647,3721,7327,Honeylocust,SAINT NICHOLAS AVE,5,Worcester,Fall 2010,6/19/2015,Front yard,Single-family,3.01,4.5,0,,21,15.54166667,Alive,N,1-25%,Good,,,,,FY,SFR-D,8.3,54,0,0,36.7,26.75,Alive,0,1,Good,,JA AP CK,1,0,0,6/27/2023,JaAndrews_clarku,,,Gleditsia
648,3722,7328,Honeylocust,SAINT NICHOLAS AVE,5,Worcester,Fall 2010,6/19/2015,Front yard,Single-family,3.3,4.5,0,,21.33333333,14.45833333,Alive,N,1-25%,Good,,,,,FY,SFR-D,9.8,54,0,0,35.8,26.75,Alive,0,1,Good,,JA AP CK,1,0,0,6/27/2023,JaAndrews_clarku,,,Gleditsia
649,3723,7326,Honeylocust,SAINT NICHOLAS AVE,5,Worcester,Fall 2010,6/19/2015,Front yard,Single-family,3.73,4.5,0,,22.83333333,15.54166667,Alive,N,1-25%,Good,,,,,FY,SFR-D,9.3,54,0,0,35.8,33.5,Alive,0,1,Good,,JA AP CK,1,0,0,6/27/2023,JaAndrews_clarku,,,Gleditsia
650,3724,7307,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.32,4.5,0,,9,4.5,Alive,N,1-25%,Good,,,,,SY,SFR-D,4.8,44,0,0,17.5,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
651,3725,7310,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.55,4.5,0,,10.41666667,4.333333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,2.75,54,3.7,54,20,4.1,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
652,3726,7317,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.69,5.5,1.4,4.5,10.41666667,4.666666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,5.4,9,0,0,17.5,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
653,3727,7318,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,2.2,4.5,0,,11.5,4.666666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.3,54,2.5,54,15,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
654,3728,7325,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,1.46,4.5,1.16,4.5,9.5,4.208333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,6.3,17,0,0,20.5,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
655,3729,7323,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single-family,0.91,4.5,0.9,4.5,9,4.625,Alive,N,1-25%,Good,,,,,SY,SFR-D,5.3,54,2.8,54,22,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,apai_clarku,,,Thuja occidentalis
656,3730,7322,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.64,4.5,0.54,4.5,7,4.458333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.6,54,3.1,54,19.5,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
657,3731,7316,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.97,4.5,0.63,4.5,7,4,Alive,N,1-25%,Good,,,,,SY,SFR-D,5,9,0,0,17,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
658,3732,7314,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.56,4.5,0,,7,3.875,Alive,N,1-25%,Good,,,,,SY,SFR-D,4.9,54,0,0,20.5,4.2,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
659,3733,7320,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.84,4.5,0,,8,3.708333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,4.5,47,3,47,16,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
660,3734,7312,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1.02,4.5,0,,8,3.958333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,2.4,54,0,0,13,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
661,3735,7308,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,0.96,4.5,0,,9,4.5,Alive,N,1-25%,Good,,,,,SY,SFR-D,2.1,54,1.3,54,14,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
662,3736,7313,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1.6,4.5,0,,10,4.333333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,5.3,10,0,0,18,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
663,3737,7303,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1,4.5,0,,9,3.958333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,5.1,38,3.1,54,17,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
664,3738,7324,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Back Yard,Single Family,1.5,4.5,0,,11,4.666666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.4,54,2.8,54,18,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
665,3739,7304,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.1,4.5,0,,10.25,4.291666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,4.8,54,0,0,20,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
666,3740,7299,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.1,4.5,0.72,4.5,9.416666667,3.75,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.3,54,2.6,54,16.2,4.1,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
667,3741,7300,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.14,4.5,0.8,4.5,9,3.916666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.7,54,2.2,54,16.4,4.1,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
668,3742,7319,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1,4.5,1.1,4.5,8.916666667,4.083333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,4,40,1.4,40,15,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
669,3743,7321,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.28,4.5,1.13,4.5,10.16666667,4.416666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,4,54,3.7,54,20,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
670,3744,7305,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.43,4.5,0,,9,4.833333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,4.3,30,0,0,15.5,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
671,3745,7297,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,2.01,4.5,0,,11.16666667,4.083333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.1,54,2.6,54,14.9,4.2,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
672,3746,7302,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.45,4.5,0,,10.16666667,4.708333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.8,54,2,54,16,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
673,3747,7315,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.44,4.5,0,,9.833333333,4.916666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,2.5,54,2.2,54,14,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
674,3748,7298,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.6,4.5,0,,10.25,4.291666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.3,54,2.6,54,16,4.1,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
675,3749,7311,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.39,4.5,1.3,4.5,9.583333333,5.083333333,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.1,54,2.4,54,19.5,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
676,3750,7301,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.45,4.5,0,,10,4.541666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,4.9,54,0,0,17,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
677,3751,7306,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.44,4.5,0,,9,5.416666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,3.9,38,2,38,14,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
678,3752,7309,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.18,4.5,0.78,4.5,8.25,3.916666667,Alive,N,1-25%,Good,,,,,SY,SFR-D,2.2,54,1.5,54,14,4,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
679,3753,7296,American Arborvitae,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,1.02,4.5,0,,8.25,4.5,Alive,N,1-25%,Good,,,,,SY,SFR-D,2.5,54,2.5,54,13,5.5,Alive,0,1,Good,,JA AP CK,0,0,1,6/27/2023,JaAndrews_clarku,,,Thuja occidentalis
680,3754,7295,Sargent Cherry,SAINT NICHOLAS AVE,11,Worcester,Fall 2010,6/19/2015,Front Yard,Single Family,0,,0,,0,0,Removed/Missing,,,,,,,,FY,SFR-D,12.5,41,0,0,21.4,28.5,Alive,1,1,Good,,JA AP CK,0,1,0,6/27/2023,JaAndrews_clarku,,,Prunus sargentii
681,4023,8436,Kousa Dogwood,STRATTON RD,18,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,5.2,18,0,0,11.2,14,Alive,0,1,Good,,"AR, NG",0,1,0,6/14/2023,ARichmondCrosset_clarku,,,Cornus kousa
682,4024,8435,Sargent Cherry,STRATTON RD,18,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,SY,SFR-D,5.6,38,0,0,17.2,16,Alive,0,1,Good,"Actually a cherry plum, not sergeant cherry","AR, NG",0,1,0,6/14/2023,ARichmondCrosset_clarku,,,Prunus sargentii
683,4063,8501,Honeylocust,TACOMA ST,156,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,MFR,9.3,54,0,0,22.5,34,Alive,0,1,Good,Fenced in next to playground. Unaccessible,Ksjarc,1,0,0,6/29/2023,racolon_clarku,,,Gleditsia
684,4064,8564,Ginkgo,THORNDYKE RD,16,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Alive,NA,NA,NA,,,,,BY,SFR-D,3.9,54,0,0,20,18,Alive,0,1,Fair,,"KS, TH",1,0,0,6/15/2023,THonnef_clarku,,,Ginkgo biloba
685,4065,8567,Japanese Tree Lilac,THORNDYKE RD,37,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,24,0,Alive,0,1,Good,,AN AR,0,1,0,6/27/2023,ANelson_clarku,,,Syringa reticulata
686,4066,8568,Japanese Tree Lilac,THORNDYKE RD,37,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,21.5,0,Alive,1,1,Good,,AN AR,0,1,0,6/27/2023,ANelson_clarku,,,Syringa reticulata
687,4075,8574,Littleleaf Linden,THORNTON RD,4,Worcester,Fall 2010,6/25/2015,Front Yard,Single-Family,3.2,,0,,13.83333333,9,Alive,,1-25%,Good,,,,,FY,SFR-D,7.5,54,0,0,26.5,18.5,Alive,0,1,Good,,"ar, cb",1,0,0,6/13/2023,CBate_clarku,,,Tilia cordata
688,4076,8572,Sargent Cherry,THORNTON RD,4,Worcester,Fall 2010,6/25/2015,Front Yard,Single-Family,3.3,,0,,14.83333333,13,Alive,,1-25%,Good,,,,,FY,SFR-D,9.9,45,0,0,18.8,20,Alive,0,1,Good,,"ar, cb",0,1,0,6/13/2023,CBate_clarku,,,Prunus sargentii
689,4077,8573,Sargent Cherry,THORNTON RD,4,Worcester,Fall 2010,6/25/2015,Front Yard,Single-Family,2.8,,0,,14.83333333,12.29166667,Alive,,1-25%,Good,,,,,FY,SFR-D,10.4,42,0,0,13.2,22.5,Alive,0,1,Good,,"ar, cb",0,1,0,6/13/2023,CBate_clarku,,,Prunus sargentii
690,4081,8578,American Arborvitae,THORNTON RD,16,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,1.9,0,5,0,11.5,7,Alive,0,1,Good,,CB,0,0,1,7/5/2023,NGeron_clarku,,,Thuja occidentalis
691,4082,8580,American Arborvitae,THORNTON RD,16,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,4.2,0,2.1,0,13.8,7,Alive,0,1,Good,,"ar, cb",0,0,1,6/13/2023,CBate_clarku,,,Thuja occidentalis
692,4083,8577,American Arborvitae,THORNTON RD,16,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,2.6,0,2.8,0,12.1,7,Alive,0,1,Good,,"ar, cb",0,0,1,6/13/2023,CBate_clarku,,,Thuja occidentalis
693,4084,8579,American Arborvitae,THORNTON RD,16,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,1.9,0,3.1,0,11.1,7,Alive,0,1,Good,,"ar, cb",0,0,1,6/13/2023,CBate_clarku,,,Thuja occidentalis
694,4085,8576,American Arborvitae,THORNTON RD,16,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,2.5,0,2.8,0,11.2,8,Alive,0,1,Good,,"ar, cb",0,0,1,6/13/2023,CBate_clarku,,,Thuja occidentalis
695,4086,8581,Japanese Tree Lilac,THORNTON RD,16,Worcester,Fall 2010,6/25/2015,front yard,single family,2.6,4.5,NA,N/A,23,13.16333333,Alive,Y,1-25%,Good,,,,,FY,SFR-D,5.2,36,0,0,13.4,12.75,Alive,0,1,Good,,"ar, cb",0,1,0,6/13/2023,CBate_clarku,,,Syringa reticulata
696,4087,8584,Crabapple,THORNTON RD,18,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,resident said all trees on property removed,"cb, ar",0,1,0,6/13/2023,CBate_clarku,,,Malus sylvestris 
697,4088,8583,Crabapple,THORNTON RD,18,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,"unable to confirm, resident said all trees on property removed","ar, cb",0,1,0,6/13/2023,CBate_clarku,,,Malus sylvestris 
698,4090,8588,Dawn Redwood,THORNTON RD,30,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,13.3,0,0,0,31.2,27,Alive,0,1,Good,,"cb, ar",0,0,1,6/13/2023,CBate_clarku,,,Metasequoia glyptostroboides
699,4091,8586,Sargent Cherry,THORNTON RD,30,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,8.6,0,0,0,15,12,Alive,0,2,Poor,"very damaged trunk, branches missing","cb, ar",0,1,0,6/13/2023,CBate_clarku,,,Prunus sargentii
700,4092,8587,Sargent Cherry,THORNTON RD,30,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,12,0,0,0,16.5,24,Alive,0,1,Good,,"cb, ar",0,1,0,6/13/2023,CBate_clarku,,,Prunus sargentii
701,4104,8675,Kousa Dogwood,TUNIS RD,2,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,Apthrc,0,1,0,6/21/2023,racolon_clarku,,,Cornus kousa
702,4105,8676,Serviceberry,TUNIS RD,2,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"AP, RC, TH",0,1,0,6/21/2023,THonnef_clarku,,,Amelanchier
